,fra,jour,pop,P,T,Ti,Tp,Td,cl_age90
283,FR,2021-02-20,"67114992,00","12532,00","215475,00","18,67","5,82","321,05",0
284,FR,2021-02-21,"67114992,00","3040,00","43534,00","4,53","6,98","64,86",0
285,FR,2021-02-22,"67114992,00","29166,00","407118,00","43,46","7,16","606,60",0
286,FR,2021-02-23,"67114992,00","22187,00","344320,00","33,06","6,44","513,03",0
287,FR,2021-02-24,"67114992,00","21055,00","328995,00","31,37","6,40","490,20",0
288,FR,2021-02-25,"67114992,00","21028,00","344600,00","31,33","6,10","513,45",0
289,FR,2021-02-26,"67114992,00","21612,00","390031,00","32,20","5,54","581,14",0
290,FR,2021-02-27,"67114992,00","12621,00","206631,00","18,81","6,11","307,88",0
291,FR,2021-02-28,"67114992,00","2948,00","44447,00","4,39","6,63","66,23",0
292,FR,2021-03-01,"67114992,00","27426,00","404395,00","40,86","6,78","602,54",0
293,FR,2021-03-02,"67114992,00","21160,00","337625,00","31,53","6,27","503,05",0
294,FR,2021-03-03,"67114992,00","20461,00","320471,00","30,49","6,38","477,50",0
295,FR,2021-03-04,"67114992,00","20500,00","345262,00","30,54","5,94","514,43",0
296,FR,2021-03-05,"67114992,00","21919,00","396004,00","32,66","5,54","590,04",0
297,FR,2021-03-06,"67114992,00","13703,00","214087,00","20,42","6,40","318,99",0
298,FR,2021-03-07,"67114992,00","3153,00","46265,00","4,70","6,82","68,93",0
299,FR,2021-03-08,"67114992,00","29339,00","427894,00","43,71","6,86","637,55",0
300,FR,2021-03-09,"67114992,00","23646,00","370741,00","35,23","6,38","552,40",0
301,FR,2021-03-10,"67114992,00","23807,00","346285,00","35,47","6,87","515,96",0
302,FR,2021-03-11,"67114992,00","24632,00","410761,00","36,70","6,00","612,03",0
303,FR,2021-03-12,"67114992,00","26454,00","464838,00","39,42","5,69","692,60",0
304,FR,2021-03-13,"67114992,00","17032,00","245178,00","25,38","6,95","365,31",0
305,FR,2021-03-14,"67114992,00","4246,00","54672,00","6,33","7,77","81,46",0
306,FR,2021-03-15,"67114992,00","38786,00","495377,00","57,79","7,83","738,10",0
307,FR,2021-03-16,"67114992,00","30766,00","449165,00","45,84","6,85","669,25",0
308,FR,2021-03-17,"67114992,00","30446,00","404927,00","45,36","7,52","603,33",0
309,FR,2021-03-18,"67114992,00","31208,00","483710,00","46,50","6,45","720,72",0
310,FR,2021-03-19,"67114992,00","33211,00","545585,00","49,48","6,09","812,91",0
311,FR,2021-03-20,"67114992,00","20736,00","283120,00","30,90","7,32","421,84",0
312,FR,2021-03-21,"67114992,00","5011,00","59797,00","7,47","8,38","89,10",0
313,FR,2021-03-22,"67114992,00","46960,00","581870,00","69,97","8,07","866,97",0
314,FR,2021-03-23,"67114992,00","38102,00","535945,00","56,77","7,11","798,55",0
315,FR,2021-03-24,"67114992,00","37147,00","483579,00","55,35","7,68","720,52",0
316,FR,2021-03-25,"67114992,00","38239,00","571179,00","56,98","6,69","851,05",0
317,FR,2021-03-26,"67114992,00","39973,00","635495,00","59,56","6,29","946,87",0
318,FR,2021-03-27,"67114992,00","25164,00","347661,00","37,49","7,24","518,01",0
319,FR,2021-03-28,"67114992,00","5130,00","63418,00","7,64","8,09","94,49",0
320,FR,2021-03-29,"67114992,00","53147,00","687918,00","79,19","7,73","1024,98",0
321,FR,2021-03-30,"67114992,00","43578,00","656730,00","64,93","6,64","978,51",0
322,FR,2021-03-31,"67114992,00","39653,00","570865,00","59,08","6,95","850,58",0
323,FR,2021-04-01,"67114992,00","39522,00","660705,00","58,89","5,98","984,44",0
324,FR,2021-04-02,"67114992,00","38714,00","671048,00","57,68","5,77","999,85",0
325,FR,2021-04-03,"67114992,00","24341,00","406885,00","36,27","5,98","606,25",0
326,FR,2021-04-04,"67114992,00","4932,00","66172,00","7,35","7,45","98,59",0
327,FR,2021-04-05,"67114992,00","8620,00","103118,00","12,84","8,36","153,64",0
328,FR,2021-04-06,"67114992,00","53856,00","630921,00","80,24","8,54","940,06",0
329,FR,2021-04-07,"67114992,00","39132,00","478424,00","58,31","8,18","712,84",0
330,FR,2021-04-08,"67114992,00","37020,00","469921,00","55,16","7,88","700,17",0
331,FR,2021-04-09,"67114992,00","37994,00","510247,00","56,61","7,45","760,26",0
332,FR,2021-04-10,"67114992,00","24085,00","296445,00","35,89","8,12","441,70",0
333,FR,2021-04-11,"67114992,00","5020,00","59451,00","7,48","8,44","88,58",0
334,FR,2021-04-12,"67114992,00","46313,00","480572,00","69,01","9,64","716,04",0
335,FR,2021-04-13,"67114992,00","34360,00","392001,00","51,20","8,77","584,07",0
336,FR,2021-04-14,"67114992,00","31741,00","370718,00","47,29","8,56","552,36",0
337,FR,2021-04-15,"67114992,00","31452,00","376593,00","46,86","8,35","561,12",0
338,FR,2021-04-16,"67114992,00","32307,00","418166,00","48,14","7,73","623,06",0
339,FR,2021-04-17,"67114992,00","20428,00","248817,00","30,44","8,21","370,73",0
340,FR,2021-04-18,"67114992,00","4600,00","52407,00","6,85","8,78","78,09",0
341,FR,2021-04-19,"67114992,00","41391,00","419189,00","61,67","9,87","624,58",0
342,FR,2021-04-20,"67114992,00","30766,00","344171,00","45,84","8,94","512,81",0
343,FR,2021-04-21,"67114992,00","29225,00","326991,00","43,54","8,94","487,21",0
344,FR,2021-04-22,"67114992,00","28024,00","331587,00","41,76","8,45","494,06",0
345,FR,2021-04-23,"67114992,00","28377,00","378574,00","42,28","7,50","564,07",0
346,FR,2021-04-24,"67114992,00","17528,00","224262,00","26,12","7,82","334,15",0
347,FR,2021-04-25,"67114992,00","3635,00","49405,00","5,42","7,36","73,61",0
348,FR,2021-04-26,"67114992,00","34240,00","407954,00","51,02","8,39","607,84",0
349,FR,2021-04-27,"67114992,00","24834,00","360498,00","37,00","6,89","537,13",0
350,FR,2021-04-28,"67114992,00","22135,00","315796,00","32,98","7,01","470,53",0
351,FR,2021-04-29,"67114992,00","21325,00","387613,00","31,77","5,50","577,54",0
352,FR,2021-04-30,"67114992,00","22681,00","471331,00","33,79","4,81","702,27",0
353,FR,2021-05-01,"67114992,00","4004,00","69634,00","5,97","5,75","103,75",0
354,FR,2021-05-02,"67114992,00","3569,00","58276,00","5,32","6,12","86,83",0
355,FR,2021-05-03,"67114992,00","28951,00","474154,00","43,14","6,11","706,48",0
356,FR,2021-05-04,"67114992,00","20223,00","406334,00","30,13","4,98","605,43",0
357,FR,2021-05-05,"67114992,00","17649,00","354805,00","26,30","4,97","528,65",0
358,FR,2021-05-06,"67114992,00","17165,00","444921,00","25,58","3,86","662,92",0
359,FR,2021-05-07,"67114992,00","18178,00","509301,00","27,08","3,57","758,85",0
360,FR,2021-05-08,"67114992,00","4041,00","87199,00","6,02","4,63","129,92",0
361,FR,2021-05-09,"67114992,00","2886,00","58054,00","4,30","4,97","86,50",0
362,FR,2021-05-10,"67114992,00","23947,00","522969,00","35,68","4,58","779,21",0
363,FR,2021-05-11,"67114992,00","16665,00","481785,00","24,83","3,46","717,85",0
364,FR,2021-05-12,"67114992,00","16073,00","450266,00","23,95","3,57","670,89",0
365,FR,2021-05-13,"67114992,00","3064,00","78716,00","4,57","3,89","117,29",0
366,FR,2021-05-14,"67114992,00","17431,00","453582,00","25,97","3,84","675,83",0
367,FR,2021-05-15,"67114992,00","8935,00","228684,00","13,31","3,91","340,73",0
368,FR,2021-05-16,"67114992,00","2324,00","54433,00","3,46","4,27","81,10",0
369,FR,2021-05-17,"67114992,00","19820,00","474183,00","29,53","4,18","706,52",0
370,FR,2021-05-18,"67114992,00","15534,00","437931,00","23,15","3,55","652,51",0
371,FR,2021-05-19,"67114992,00","13711,00","388358,00","20,43","3,53","578,65",0
372,FR,2021-05-20,"67114992,00","12580,00","430548,00","18,74","2,92","641,51",0
373,FR,2021-05-21,"67114992,00","12526,00","454558,00","18,66","2,76","677,28",0
374,FR,2021-05-22,"67114992,00","7816,00","245403,00","11,65","3,18","365,65",0
375,FR,2021-05-23,"67114992,00","1787,00","52640,00","2,66","3,39","78,43",0
376,FR,2021-05-24,"67114992,00","3517,00","97046,00","5,24","3,62","144,60",0
377,FR,2021-05-25,"67114992,00","16586,00","485905,00","24,71","3,41","723,99",0
378,FR,2021-05-26,"67114992,00","11888,00","357528,00","17,71","3,33","532,71",0
379,FR,2021-05-27,"67114992,00","11162,00","408497,00","16,63","2,73","608,65",0
380,FR,2021-05-28,"67114992,00","10641,00","447306,00","15,85","2,38","666,48",0
381,FR,2021-05-29,"67114992,00","6384,00","229708,00","9,51","2,78","342,26",0
382,FR,2021-05-30,"67114992,00","1504,00","51317,00","2,24","2,93","76,46",0
383,FR,2021-05-31,"67114992,00","11824,00","400508,00","17,62","2,95","596,75",0
384,FR,2021-06-01,"67114992,00","8000,00","348834,00","11,92","2,29","519,76",0
385,FR,2021-06-02,"67114992,00","7633,00","314715,00","11,37","2,43","468,92",0
386,FR,2021-06-03,"67114992,00","7053,00","367378,00","10,51","1,92","547,39",0
387,FR,2021-06-04,"67114992,00","6655,00","420013,00","9,92","1,58","625,81",0
388,FR,2021-06-05,"67114992,00","3972,00","212810,00","5,92","1,87","317,08",0
389,FR,2021-06-06,"67114992,00","911,00","46115,00","1,36","1,98","68,71",0
390,FR,2021-06-07,"67114992,00","7319,00","375703,00","10,91","1,95","559,79",0
391,FR,2021-06-08,"67114992,00","5050,00","328314,00","7,52","1,54","489,18",0
392,FR,2021-06-09,"67114992,00","4247,00","280843,00","6,33","1,51","418,45",0
393,FR,2021-06-10,"67114992,00","3849,00","342245,00","5,73","1,12","509,94",0
394,FR,2021-06-11,"67114992,00","3989,00","382040,00","5,94","1,04","569,23",0
395,FR,2021-06-12,"67114992,00","2220,00","198801,00","3,31","1,12","296,21",0
396,FR,2021-06-13,"67114992,00","521,00","46676,00","0,78","1,12","69,55",0
397,FR,2021-06-14,"67114992,00","3990,00","341610,00","5,95","1,17","508,99",0
398,FR,2021-06-15,"67114992,00","2869,00","284022,00","4,27","1,01","423,19",0
399,FR,2021-06-16,"67114992,00","2550,00","251151,00","3,80","1,02","374,21",0
400,FR,2021-06-17,"67114992,00","2525,00","319496,00","3,76","0,79","476,04",0
401,FR,2021-06-18,"67114992,00","2612,00","387185,00","3,89","0,67","576,90",0
402,FR,2021-06-19,"67114992,00","1457,00","205068,00","2,17","0,71","305,55",0
403,FR,2021-06-20,"67114992,00","392,00","50057,00","0,58","0,78","74,58",0
404,FR,2021-06-21,"67114992,00","2736,00","315358,00","4,08","0,87","469,88",0
405,FR,2021-06-22,"67114992,00","2101,00","257837,00","3,13","0,81","384,17",0
406,FR,2021-06-23,"67114992,00","2013,00","233231,00","3,00","0,86","347,51",0
407,FR,2021-06-24,"67114992,00","1999,00","291411,00","2,98","0,69","434,20",0
408,FR,2021-06-25,"67114992,00","2166,00","354947,00","3,23","0,61","528,86",0
409,FR,2021-06-26,"67114992,00","1322,00","208724,00","1,97","0,63","310,99",0
410,FR,2021-06-27,"67114992,00","436,00","52491,00","0,65","0,83","78,21",0
411,FR,2021-06-28,"67114992,00","2884,00","320881,00","4,30","0,90","478,11",0
412,FR,2021-06-29,"67114992,00","2384,00","263577,00","3,55","0,90","392,72",0
413,FR,2021-06-30,"67114992,00","2825,00","268700,00","4,21","1,05","400,36",0
414,FR,2021-07-01,"67114992,00","2732,00","324465,00","4,07","0,84","483,45",0
415,FR,2021-07-02,"67114992,00","3177,00","397804,00","4,73","0,80","592,72",0
416,FR,2021-07-03,"67114992,00","2207,00","268448,00","3,29","0,82","399,98",0
417,FR,2021-07-04,"67114992,00","768,00","67471,00","1,14","1,14","100,53",0
418,FR,2021-07-05,"67114992,00","4632,00","374517,00","6,90","1,24","558,02",0
419,FR,2021-07-06,"67114992,00","3898,00","294551,00","5,81","1,32","438,88",0
420,FR,2021-07-07,"67114992,00","4570,00","309832,00","6,81","1,47","461,64",0
421,FR,2021-07-08,"67114992,00","4570,00","359051,00","6,81","1,27","534,98",0
422,FR,2021-07-09,"67114992,00","5093,00","465163,00","7,59","1,09","693,08",0
423,FR,2021-07-10,"67114992,00","3554,00","344567,00","5,30","1,03","513,40",0
424,FR,2021-07-11,"67114992,00","1262,00","90522,00","1,88","1,39","134,88",0
425,FR,2021-07-12,"67114992,00","8580,00","393206,00","12,78","2,18","585,87",0
426,FR,2021-07-13,"67114992,00","8817,00","405974,00","13,14","2,17","604,89",0
427,FR,2021-07-14,"67114992,00","2618,00","113660,00","3,90","2,30","169,35",0
428,FR,2021-07-15,"67114992,00","13472,00","444439,00","20,07","3,03","662,21",0
429,FR,2021-07-16,"67114992,00","12738,00","492441,00","18,98","2,59","733,73",0
430,FR,2021-07-17,"67114992,00","9857,00","368187,00","14,69","2,68","548,59",0
431,FR,2021-07-18,"67114992,00","3316,00","100623,00","4,94","3,30","149,93",0
432,FR,2021-07-19,"67114992,00","22921,00","443175,00","34,15","5,17","660,32",0
433,FR,2021-07-20,"67114992,00","20814,00","418332,00","31,01","4,98","623,31",0
434,FR,2021-07-21,"67114992,00","22539,00","515085,00","33,58","4,38","767,47",0
435,FR,2021-07-22,"67114992,00","20745,00","497755,00","30,91","4,17","741,65",0
436,FR,2021-07-23,"67114992,00","22594,00","725603,00","33,66","3,11","1081,13",0
437,FR,2021-07-24,"67114992,00","15974,00","566508,00","23,80","2,82","844,09",0
438,FR,2021-07-25,"67114992,00","4681,00","143031,00","6,97","3,27","213,11",0
439,FR,2021-07-26,"67114992,00","33247,00","631269,00","49,54","5,27","940,58",0
440,FR,2021-07-27,"67114992,00","25719,00","531651,00","38,32","4,84","792,15",0
441,FR,2021-07-28,"67114992,00","25047,00","537606,00","37,32","4,66","801,02",0
442,FR,2021-07-29,"67114992,00","24180,00","605242,00","36,03","4,00","901,80",0
443,FR,2021-07-30,"67114992,00","24262,00","842752,00","36,15","2,88","1255,68",0
444,FR,2021-07-31,"67114992,00","16000,00","622477,00","23,84","2,57","927,48",0
445,FR,2021-08-01,"67114992,00","4720,00","158844,00","7,03","2,97","236,67",0
446,FR,2021-08-02,"67114992,00","34317,00","670400,00","51,13","5,12","998,88",0
447,FR,2021-08-03,"67114992,00","26712,00","551146,00","39,80","4,85","821,20",0
448,FR,2021-08-04,"67114992,00","25831,00","550507,00","38,49","4,69","820,24",0
449,FR,2021-08-05,"67114992,00","25168,00","600065,00","37,50","4,19","894,08",0
450,FR,2021-08-06,"67114992,00","25837,00","812348,00","38,50","3,18","1210,38",0
451,FR,2021-08-07,"67114992,00","17256,00","623910,00","25,71","2,77","929,61",0
452,FR,2021-08-08,"67114992,00","5401,00","181628,00","8,05","2,97","270,62",0
453,FR,2021-08-09,"67114992,00","36175,00","945264,00","53,90","3,83","1408,42",0
454,FR,2021-08-10,"67114992,00","28708,00","823255,00","42,77","3,49","1226,63",0
455,FR,2021-08-11,"67114992,00","27051,00","774341,00","40,31","3,49","1153,75",0
456,FR,2021-08-12,"67114992,00","26531,00","863399,00","39,53","3,07","1286,45",0
457,FR,2021-08-13,"67114992,00","25286,00","1003138,00","37,68","2,52","1494,66",0
458,FR,2021-08-14,"67114992,00","17667,00","840416,00","26,32","2,10","1252,20",0
459,FR,2021-08-15,"67114992,00","5193,00","197712,00","7,74","2,63","294,59",0
460,FR,2021-08-16,"67114992,00","34282,00","975545,00","51,08","3,51","1453,54",0
461,FR,2021-08-17,"67114992,00","25329,00","821154,00","37,74","3,08","1223,50",0
462,FR,2021-08-18,"67114992,00","23029,00","753918,00","34,31","3,05","1123,32",0
463,FR,2021-08-19,"67114992,00","21908,00","856374,00","32,64","2,56","1275,98",0
464,FR,2021-08-20,"67114992,00","22443,00","1064779,00","33,44","2,11","1586,50",0
465,FR,2021-08-21,"67114992,00","14930,00","769629,00","22,25","1,94","1146,73",0
466,FR,2021-08-22,"67114992,00","4577,00","182362,00","6,82","2,51","271,72",0
467,FR,2021-08-23,"67114992,00","29725,00","896951,00","44,29","3,31","1336,44",0
468,FR,2021-08-24,"67114992,00","21399,00","738124,00","31,88","2,90","1099,79",0
469,FR,2021-08-25,"67114992,00","19001,00","674288,00","28,31","2,82","1004,68",0
470,FR,2021-08-26,"67114992,00","17805,00","756550,00","26,53","2,35","1127,24",0
471,FR,2021-08-27,"67114992,00","17817,00","979330,00","26,55","1,82","1459,18",0
472,FR,2021-08-28,"67114992,00","11560,00","726281,00","17,22","1,59","1082,14",0
473,FR,2021-08-29,"67114992,00","3558,00","170166,00","5,30","2,09","253,54",0
474,FR,2021-08-30,"67114992,00","22476,00","823592,00","33,49","2,73","1227,14",0
475,FR,2021-08-31,"67114992,00","16366,00","643538,00","24,39","2,54","958,86",0
476,FR,2021-09-01,"67114992,00","15285,00","572411,00","22,77","2,67","852,88",0
477,FR,2021-09-02,"67114992,00","13161,00","618938,00","19,61","2,13","922,21",0
478,FR,2021-09-03,"67114992,00","13095,00","846010,00","19,51","1,55","1260,54",0
479,FR,2021-09-04,"67114992,00","9274,00","658204,00","13,82","1,41","980,71",0
480,FR,2021-09-05,"67114992,00","2791,00","140360,00","4,16","1,99","209,13",0
481,FR,2021-09-06,"67114992,00","16639,00","689464,00","24,79","2,41","1027,29",0
482,FR,2021-09-07,"67114992,00","11699,00","550669,00","17,43","2,12","820,49",0
483,FR,2021-09-08,"67114992,00","10522,00","518235,00","15,68","2,03","772,16",0
484,FR,2021-09-09,"67114992,00","9946,00","613785,00","14,82","1,62","914,53",0
485,FR,2021-09-10,"67114992,00","9798,00","836864,00","14,60","1,17","1246,91",0
486,FR,2021-09-11,"67114992,00","6542,00","637446,00","9,75","1,03","949,78",0
487,FR,2021-09-12,"67114992,00","1885,00","137549,00","2,81","1,37","204,95",0
488,FR,2021-09-13,"67114992,00","11790,00","665738,00","17,57","1,77","991,94",0
489,FR,2021-09-14,"67114992,00","8403,00","550105,00","12,52","1,53","819,65",0
490,FR,2021-09-15,"67114992,00","7897,00","497477,00","11,77","1,59","741,23",0
491,FR,2021-09-16,"67114992,00","7221,00","564571,00","10,76","1,28","841,20",0
492,FR,2021-09-17,"67114992,00","7429,00","792211,00","11,07","0,94","1180,38",0
493,FR,2021-09-18,"67114992,00","5024,00","578168,00","7,49","0,87","861,46",0
494,FR,2021-09-19,"67114992,00","1402,00","120123,00","2,09","1,17","178,98",0
495,FR,2021-09-20,"67114992,00","8914,00","614165,00","13,28","1,45","915,09",0
496,FR,2021-09-21,"67114992,00","6382,00","509059,00","9,51","1,25","758,49",0
497,FR,2021-09-22,"67114992,00","5972,00","454458,00","8,90","1,31","677,13",0
498,FR,2021-09-23,"67114992,00","5915,00","532176,00","8,81","1,11","792,93",0
499,FR,2021-09-24,"67114992,00","6096,00","734037,00","9,08","0,83","1093,70",0
500,FR,2021-09-25,"67114992,00","4187,00","532292,00","6,24","0,79","793,10",0
501,FR,2021-09-26,"67114992,00","1151,00","106557,00","1,71","1,08","158,77",0
502,FR,2021-09-27,"67114992,00","7639,00","573548,00","11,38","1,33","854,58",0
503,FR,2021-09-28,"67114992,00","5552,00","486201,00","8,27","1,14","724,43",0
504,FR,2021-09-29,"67114992,00","5082,00","435996,00","7,57","1,17","649,63",0
505,FR,2021-09-30,"67114992,00","4968,00","528510,00","7,40","0,94","787,47",0
506,FR,2021-10-01,"67114992,00","4931,00","707506,00","7,35","0,70","1054,17",0
507,FR,2021-10-02,"67114992,00","3307,00","528310,00","4,93","0,63","787,17",0
508,FR,2021-10-03,"67114992,00","1048,00","99507,00","1,56","1,05","148,26",0
509,FR,2021-10-04,"67114992,00","6344,00","512891,00","9,45","1,24","764,20",0
510,FR,2021-10-05,"67114992,00","4787,00","456721,00","7,13","1,05","680,51",0
511,FR,2021-10-06,"67114992,00","4429,00","403457,00","6,60","1,10","601,14",0
512,FR,2021-10-07,"67114992,00","4632,00","472220,00","6,90","0,98","703,60",0
513,FR,2021-10-08,"67114992,00","4708,00","675328,00","7,01","0,70","1006,23",0
514,FR,2021-10-09,"67114992,00","3543,00","513684,00","5,28","0,69","765,38",0
515,FR,2021-10-10,"67114992,00","1013,00","92335,00","1,51","1,10","137,58",0
516,FR,2021-10-11,"67114992,00","6770,00","507338,00","10,09","1,33","755,92",0
517,FR,2021-10-12,"67114992,00","5319,00","445037,00","7,93","1,20","663,10",0
518,FR,2021-10-13,"67114992,00","5157,00","413878,00","7,68","1,25","616,67",0
519,FR,2021-10-14,"67114992,00","6329,00","807887,00","9,43","0,78","1203,74",0
520,FR,2021-10-15,"67114992,00","4708,00","373366,00","7,01","1,26","556,31",0
521,FR,2021-10-16,"67114992,00","3349,00","283752,00","4,99","1,18","422,78",0
522,FR,2021-10-17,"67114992,00","995,00","60703,00","1,48","1,64","90,45",0
523,FR,2021-10-18,"67114992,00","7042,00","391106,00","10,49","1,80","582,74",0
524,FR,2021-10-19,"67114992,00","5895,00","347446,00","8,78","1,70","517,69",0
525,FR,2021-10-20,"67114992,00","6175,00","314704,00","9,20","1,96","468,90",0
526,FR,2021-10-21,"67114992,00","6293,00","342065,00","9,38","1,84","509,67",0
527,FR,2021-10-22,"67114992,00","6341,00","436630,00","9,45","1,45","650,57",0
528,FR,2021-10-23,"67114992,00","4456,00","335748,00","6,64","1,33","500,26",0
529,FR,2021-10-24,"67114992,00","1070,00","64786,00","1,59","1,65","96,53",0
530,FR,2021-10-25,"67114992,00","7643,00","350830,00","11,39","2,18","522,73",0
531,FR,2021-10-26,"67114992,00","6298,00","292892,00","9,38","2,15","436,40",0
532,FR,2021-10-27,"67114992,00","6480,00","284201,00","9,66","2,28","423,45",0
533,FR,2021-10-28,"67114992,00","6420,00","287544,00","9,57","2,23","428,43",0
534,FR,2021-10-29,"67114992,00","7578,00","377163,00","11,29","2,01","561,97",0
535,FR,2021-10-30,"67114992,00","5915,00","331950,00","8,81","1,78","494,60",0
536,FR,2021-10-31,"67114992,00","1657,00","75161,00","2,47","2,20","111,99",0
537,FR,2021-11-01,"67114992,00","2195,00","85929,00","3,27","2,55","128,03",0
538,FR,2021-11-02,"67114992,00","11823,00","370469,00","17,62","3,19","551,99",0
539,FR,2021-11-03,"67114992,00","9030,00","281099,00","13,45","3,21","418,83",0
540,FR,2021-11-04,"67114992,00","8944,00","275734,00","13,33","3,24","410,84",0
541,FR,2021-11-05,"67114992,00","9998,00","367345,00","14,90","2,72","547,34",0
542,FR,2021-11-06,"67114992,00","7709,00","303370,00","11,49","2,54","452,02",0
543,FR,2021-11-07,"67114992,00","1962,00","64082,00","2,92","3,06","95,48",0
544,FR,2021-11-08,"67114992,00","14665,00","372209,00","21,85","3,94","554,58",0
545,FR,2021-11-09,"67114992,00","11223,00","329597,00","16,72","3,41","491,09",0
546,FR,2021-11-10,"67114992,00","12213,00","354517,00","18,20","3,44","528,22",0
547,FR,2021-11-11,"67114992,00","2903,00","86210,00","4,33","3,37","128,45",0
548,FR,2021-11-12,"67114992,00","17363,00","481511,00","25,87","3,61","717,44",0
549,FR,2021-11-13,"67114992,00","10636,00","331569,00","15,85","3,21","494,03",0
550,FR,2021-11-14,"67114992,00","2939,00","68211,00","4,38","4,31","101,63",0
551,FR,2021-11-15,"67114992,00","23735,00","459116,00","35,36","5,17","684,07",0
552,FR,2021-11-16,"67114992,00","19400,00","433609,00","28,91","4,47","646,07",0
553,FR,2021-11-17,"67114992,00","20363,00","406029,00","30,34","5,02","604,98",0
554,FR,2021-11-18,"67114992,00","21584,00","445155,00","32,16","4,85","663,27",0
555,FR,2021-11-19,"67114992,00","23577,00","569412,00","35,13","4,14","848,41",0
556,FR,2021-11-20,"67114992,00","17595,00","422490,00","26,22","4,16","629,50",0
557,FR,2021-11-21,"67114992,00","4268,00","79464,00","6,36","5,37","118,40",0
558,FR,2021-11-22,"67114992,00","37240,00","615205,00","55,49","6,05","916,64",0
559,FR,2021-11-23,"67114992,00","31762,00","600895,00","47,32","5,29","895,32",0
560,FR,2021-11-24,"67114992,00","33617,00","589348,00","50,09","5,70","878,12",0
561,FR,2021-11-25,"67114992,00","35425,00","660581,00","52,78","5,36","984,25",0
