,fra,jour,pop,P,T,Ti,Tp,Td,cl_age90
562,FR,2021-11-26,"67114992,00","38120,00","770621,00","56,80","4,95","1148,21",0
563,FR,2021-11-27,"67114992,00","27346,00","547078,00","40,74","5,00","815,14",0
564,FR,2021-11-28,"67114992,00","6726,00","113179,00","10,02","5,94","168,63",0
565,FR,2021-11-29,"67114992,00","58865,00","853124,00","87,71","6,90","1271,14",0
566,FR,2021-11-30,"67114992,00","48054,00","812285,00","71,60","5,92","1210,29",0
567,FR,2021-12-01,"67114992,00","48099,00","794237,00","71,67","6,06","1183,40",0
568,FR,2021-12-02,"67114992,00","51171,00","845793,00","76,24","6,05","1260,21",0
569,FR,2021-12-03,"67114992,00","51789,00","920716,00","77,16","5,62","1371,85",0
570,FR,2021-12-04,"67114992,00","36026,00","707656,00","53,68","5,09","1054,39",0
571,FR,2021-12-05,"67114992,00","8921,00","156028,00","13,29","5,72","232,48",0
572,FR,2021-12-06,"67114992,00","73820,00","1024709,00","109,99","7,20","1526,80",0
573,FR,2021-12-07,"67114992,00","58089,00","909896,00","86,55","6,38","1355,73",0
574,FR,2021-12-08,"67114992,00","55828,00","877199,00","83,18","6,36","1307,01",0
575,FR,2021-12-09,"67114992,00","54838,00","915171,00","81,71","5,99","1363,59",0
576,FR,2021-12-10,"67114992,00","53626,00","956701,00","79,90","5,61","1425,47",0
577,FR,2021-12-11,"67114992,00","37187,00","733974,00","55,41","5,07","1093,61",0
578,FR,2021-12-12,"67114992,00","10019,00","178068,00","14,93","5,63","265,32",0
579,FR,2021-12-13,"67114992,00","79093,00","1079375,00","117,85","7,33","1608,25",0
580,FR,2021-12-14,"67114992,00","61455,00","929248,00","91,57","6,61","1384,56",0
581,FR,2021-12-15,"67114992,00","60105,00","926166,00","89,56","6,49","1379,97",0
582,FR,2021-12-16,"67114992,00","58362,00","957016,00","86,96","6,10","1425,93",0
583,FR,2021-12-17,"67114992,00","59006,00","1028652,00","87,92","5,74","1532,67",0
584,FR,2021-12-18,"67114992,00","42375,00","807642,00","63,14","5,25","1203,37",0
585,FR,2021-12-19,"67114992,00","13370,00","209806,00","19,92","6,37","312,61",0
586,FR,2021-12-20,"67114992,00","89672,00","1011691,00","133,61","8,86","1507,40",0
587,FR,2021-12-21,"67114992,00","84032,00","979881,00","125,21","8,58","1460,00",0
588,FR,2021-12-22,"67114992,00","93659,00","1152355,00","139,55","8,13","1716,99",0
589,FR,2021-12-23,"67114992,00","103855,00","1515787,00","154,74","6,85","2258,49",0
590,FR,2021-12-24,"67114992,00","97732,00","1347586,00","145,62","7,25","2007,88",0
591,FR,2021-12-25,"67114992,00","19118,00","182208,00","28,49","10,49","271,49",0
592,FR,2021-12-26,"67114992,00","33633,00","262917,00","50,11","12,79","391,74",0
593,FR,2021-12-27,"67114992,00","229114,00","1315556,00","341,38","17,42","1960,15",0
594,FR,2021-12-28,"67114992,00","209696,00","1234936,00","312,44","16,98","1840,03",0
595,FR,2021-12-29,"67114992,00","222724,00","1330075,00","331,85","16,75","1981,79",0
596,FR,2021-12-30,"67114992,00","232414,00","1599275,00","346,29","14,53","2382,89",0
597,FR,2021-12-31,"67114992,00","204118,00","1605366,00","304,13","12,71","2391,96",0
598,FR,2022-01-01,"67114992,00","31873,00","196493,00","47,49","16,22","292,77",0
599,FR,2022-01-02,"67114992,00","67347,00","375649,00","100,35","17,93","559,71",0
600,FR,2022-01-03,"67114992,00","435037,00","1929133,00","648,20","22,55","2874,37",0
601,FR,2022-01-04,"67114992,00","345220,00","1683879,00","514,37","20,50","2508,95",0
602,FR,2022-01-05,"67114992,00","306838,00","1713141,00","457,18","17,91","2552,55",0
603,FR,2022-01-06,"67114992,00","288036,00","1910756,00","429,17","15,07","2846,99",0
604,FR,2022-01-07,"67114992,00","278179,00","1816573,00","414,48","15,31","2706,66",0
605,FR,2022-01-08,"67114992,00","203000,00","1281841,00","302,47","15,84","1909,92",0
606,FR,2022-01-09,"67114992,00","75489,00","445669,00","112,48","16,94","664,04",0
607,FR,2022-01-10,"67114992,00","431709,00","2222923,00","643,24","19,42","3312,11",0
608,FR,2022-01-11,"67114992,00","335225,00","1634987,00","499,48","20,50","2436,10",0
609,FR,2022-01-12,"67114992,00","340759,00","1505370,00","507,72","22,64","2242,97",0
610,FR,2022-01-13,"67114992,00","315975,00","1412705,00","470,80","22,37","2104,90",0
611,FR,2022-01-14,"67114992,00","325575,00","1421757,00","485,10","22,90","2118,39",0
612,FR,2022-01-15,"67114992,00","249241,00","1056480,00","371,36","23,59","1574,13",0
613,FR,2022-01-16,"67114992,00","97316,00","379326,00","145,00","25,65","565,19",0
614,FR,2022-01-17,"67114992,00","531122,00","1787173,00","791,36","29,72","2662,85",0
615,FR,2022-01-18,"67114992,00","418010,00","1489654,00","622,83","28,06","2219,55",0
616,FR,2022-01-19,"67114992,00","419836,00","1509885,00","625,55","27,81","2249,70",0
617,FR,2022-01-20,"67114992,00","391581,00","1398538,00","583,45","28,00","2083,79",0
618,FR,2022-01-21,"67114992,00","379384,00","1366436,00","565,27","27,76","2035,96",0
619,FR,2022-01-22,"67114992,00","281571,00","1025677,00","419,54","27,45","1528,24",0
620,FR,2022-01-23,"67114992,00","101613,00","350806,00","151,40","28,97","522,69",0
621,FR,2022-01-24,"67114992,00","568310,00","1697976,00","846,77","33,47","2529,95",0
622,FR,2022-01-25,"67114992,00","399827,00","1298091,00","595,73","30,80","1934,13",0
623,FR,2022-01-26,"67114992,00","382137,00","1265235,00","569,38","30,20","1885,17",0
624,FR,2022-01-27,"67114992,00","345038,00","1133914,00","514,10","30,43","1689,51",0
625,FR,2022-01-28,"67114992,00","325861,00","1099092,00","485,53","29,65","1637,63",0
626,FR,2022-01-29,"67114992,00","234350,00","806213,00","349,18","29,07","1201,24",0
627,FR,2022-01-30,"67114992,00","79532,00","268133,00","118,50","29,66","399,51",0
628,FR,2022-01-31,"67114992,00","450455,00","1334590,00","671,17","33,75","1988,51",0
629,FR,2022-02-01,"67114992,00","294562,00","967557,00","438,89","30,44","1441,64",0
630,FR,2022-02-02,"67114992,00","273118,00","927265,00","406,94","29,45","1381,61",0
631,FR,2022-02-03,"67114992,00","231504,00","806596,00","344,94","28,70","1201,81",0
632,FR,2022-02-04,"67114992,00","209115,00","769655,00","311,58","27,17","1146,77",0
633,FR,2022-02-05,"67114992,00","147485,00","567625,00","219,75","25,98","845,75",0
634,FR,2022-02-06,"67114992,00","45200,00","174504,00","67,35","25,90","260,01",0
635,FR,2022-02-07,"67114992,00","258216,00","857622,00","384,74","30,11","1277,84",0
636,FR,2022-02-08,"67114992,00","159619,00","605704,00","237,83","26,35","902,49",0
637,FR,2022-02-09,"67114992,00","149809,00","577291,00","223,21","25,95","860,15",0
638,FR,2022-02-10,"67114992,00","127529,00","516785,00","190,02","24,68","770,00",0
639,FR,2022-02-11,"67114992,00","116709,00","504421,00","173,89","23,14","751,58",0
640,FR,2022-02-12,"67114992,00","83618,00","383955,00","124,59","21,78","572,09",0
641,FR,2022-02-13,"67114992,00","26407,00","122863,00","39,35","21,49","183,06",0
642,FR,2022-02-14,"67114992,00","147636,00","571617,00","219,97","25,83","851,70",0
643,FR,2022-02-15,"67114992,00","93601,00","418343,00","139,46","22,37","623,32",0
644,FR,2022-02-16,"67114992,00","91681,00","410775,00","136,60","22,32","612,05",0
645,FR,2022-02-17,"67114992,00","79698,00","367760,00","118,75","21,67","547,96",0
646,FR,2022-02-18,"67114992,00","75176,00","372109,00","112,01","20,20","554,43",0
647,FR,2022-02-19,"67114992,00","56468,00","309255,00","84,14","18,26","460,78",0
648,FR,2022-02-20,"67114992,00","17353,00","100824,00","25,86","17,21","150,23",0
649,FR,2022-02-21,"67114992,00","100371,00","445348,00","149,55","22,54","663,56",0
650,FR,2022-02-22,"67114992,00","64245,00","341641,00","95,72","18,80","509,04",0
651,FR,2022-02-23,"67114992,00","64849,00","328839,00","96,62","19,72","489,96",0
652,FR,2022-02-24,"67114992,00","57284,00","303692,00","85,35","18,86","452,50",0
653,FR,2022-02-25,"67114992,00","53085,00","305161,00","79,10","17,40","454,68",0
654,FR,2022-02-26,"67114992,00","41227,00","258632,00","61,43","15,94","385,36",0
655,FR,2022-02-27,"67114992,00","13124,00","89023,00","19,55","14,74","132,64",0
656,FR,2022-02-28,"67114992,00","82785,00","393629,00","123,35","21,03","586,50",0
657,FR,2022-03-01,"67114992,00","55719,00","303650,00","83,02","18,35","452,43",0
658,FR,2022-03-02,"67114992,00","60313,00","300257,00","89,87","20,09","447,38",0
659,FR,2022-03-03,"67114992,00","56884,00","286484,00","84,76","19,86","426,86",0
660,FR,2022-03-04,"67114992,00","53405,00","287328,00","79,57","18,59","428,11",0
661,FR,2022-03-05,"67114992,00","44320,00","252847,00","66,04","17,53","376,74",0
662,FR,2022-03-06,"67114992,00","15039,00","86134,00","22,41","17,46","128,34",0
663,FR,2022-03-07,"67114992,00","97169,00","415345,00","144,78","23,39","618,86",0
664,FR,2022-03-08,"67114992,00","67544,00","327389,00","100,64","20,63","487,80",0
665,FR,2022-03-09,"67114992,00","74905,00","332010,00","111,61","22,56","494,69",0
666,FR,2022-03-10,"67114992,00","72344,00","322429,00","107,79","22,44","480,41",0
667,FR,2022-03-11,"67114992,00","72278,00","337692,00","107,69","21,40","503,15",0
668,FR,2022-03-12,"67114992,00","59567,00","287705,00","88,75","20,70","428,67",0
669,FR,2022-03-13,"67114992,00","19113,00","92282,00","28,48","20,71","137,50",0
670,FR,2022-03-14,"67114992,00","135167,00","494882,00","201,40","27,31","737,36",0
671,FR,2022-03-15,"67114992,00","94264,00","391005,00","140,45","24,11","582,59",0
672,FR,2022-03-16,"67114992,00","102061,00","400132,00","152,07","25,51","596,19",0
673,FR,2022-03-17,"67114992,00","98204,00","387222,00","146,32","25,36","576,95",0
674,FR,2022-03-18,"67114992,00","97959,00","393591,00","145,96","24,89","586,44",0
675,FR,2022-03-19,"67114992,00","79652,00","324996,00","118,68","24,51","484,24",0
676,FR,2022-03-20,"67114992,00","24287,00","103918,00","36,19","23,37","154,84",0
677,FR,2022-03-21,"67114992,00","195138,00","643143,00","290,75","30,34","958,27",0
678,FR,2022-03-22,"67114992,00","140826,00","502488,00","209,83","28,03","748,70",0
679,FR,2022-03-23,"67114992,00","149672,00","522877,00","223,01","28,62","779,08",0
680,FR,2022-03-24,"67114992,00","142416,00","497324,00","212,20","28,64","741,00",0
681,FR,2022-03-25,"67114992,00","138753,00","499214,00","206,74","27,79","743,82",0
682,FR,2022-03-26,"67114992,00","106186,00","395439,00","158,22","26,85","589,20",0
683,FR,2022-03-27,"67114992,00","28546,00","114606,00","42,53","24,91","170,76",0
684,FR,2022-03-28,"67114992,00","237097,00","742774,00","353,27","31,92","1106,72",0
685,FR,2022-03-29,"67114992,00","164741,00","581086,00","245,46","28,35","865,81",0
686,FR,2022-03-30,"67114992,00","163603,00","571627,00","243,77","28,62","851,71",0
687,FR,2022-03-31,"67114992,00","145397,00","505593,00","216,64","28,76","753,32",0
688,FR,2022-04-01,"67114992,00","130776,00","462721,00","194,85","28,26","689,45",0
689,FR,2022-04-02,"67114992,00","98416,00","363306,00","146,64","27,09","541,32",0
690,FR,2022-04-03,"67114992,00","26499,00","105989,00","39,48","25,00","157,92",0
691,FR,2022-04-04,"67114992,00","220913,00","674456,00","329,16","32,75","1004,93",0
692,FR,2022-04-05,"67114992,00","155112,00","524713,00","231,11","29,56","781,81",0
693,FR,2022-04-06,"67114992,00","157530,00","528655,00","234,72","29,80","787,69",0
694,FR,2022-04-07,"67114992,00","147201,00","488321,00","219,33","30,14","727,59",0
695,FR,2022-04-08,"67114992,00","140012,00","466261,00","208,62","30,03","694,72",0
696,FR,2022-04-09,"67114992,00","102442,00","362853,00","152,64","28,23","540,64",0
697,FR,2022-04-10,"67114992,00","24481,00","99518,00","36,48","24,60","148,28",0
698,FR,2022-04-11,"67114992,00","205749,00","615022,00","306,56","33,45","916,37",0
699,FR,2022-04-12,"67114992,00","139471,00","467714,00","207,81","29,82","696,88",0
700,FR,2022-04-13,"67114992,00","134689,00","457851,00","200,68","29,42","682,19",0
701,FR,2022-04-14,"67114992,00","123558,00","415594,00","184,10","29,73","619,23",0
702,FR,2022-04-15,"67114992,00","109447,00","382901,00","163,07","28,58","570,51",0
703,FR,2022-04-16,"67114992,00","83175,00","308126,00","123,93","26,99","459,10",0
704,FR,2022-04-17,"67114992,00","19252,00","80937,00","28,69","23,79","120,59",0
705,FR,2022-04-18,"67114992,00","26995,00","110610,00","40,22","24,41","164,81",0
706,FR,2022-04-19,"67114992,00","165557,00","508404,00","246,68","32,56","757,51",0
707,FR,2022-04-20,"67114992,00","96671,00","349886,00","144,04","27,63","521,32",0
708,FR,2022-04-21,"67114992,00","85833,00","317050,00","127,89","27,07","472,40",0
709,FR,2022-04-22,"67114992,00","79431,00","313023,00","118,35","25,38","466,40",0
710,FR,2022-04-23,"67114992,00","55888,00","256514,00","83,27","21,79","382,20",0
711,FR,2022-04-24,"67114992,00","13442,00","76481,00","20,03","17,58","113,96",0
712,FR,2022-04-25,"67114992,00","103027,00","382510,00","153,51","26,93","569,93",0
713,FR,2022-04-26,"67114992,00","63680,00","281725,00","94,88","22,60","419,76",0
714,FR,2022-04-27,"67114992,00","58354,00","262551,00","86,95","22,23","391,20",0
715,FR,2022-04-28,"67114992,00","51434,00","234956,00","76,64","21,89","350,08",0
716,FR,2022-04-29,"67114992,00","48665,00","235206,00","72,51","20,69","350,45",0
717,FR,2022-04-30,"67114992,00","35301,00","195129,00","52,60","18,09","290,74",0
718,FR,2022-05-01,"67114992,00","8147,00","55775,00","12,14","14,61","83,10",0
719,FR,2022-05-02,"67114992,00","70957,00","317056,00","105,72","22,38","472,41",0
720,FR,2022-05-03,"67114992,00","45458,00","235843,00","67,73","19,27","351,40",0
721,FR,2022-05-04,"67114992,00","43628,00","226262,00","65,00","19,28","337,13",0
722,FR,2022-05-05,"67114992,00","39407,00","203123,00","58,72","19,40","302,65",0
723,FR,2022-05-06,"67114992,00","37646,00","203249,00","56,09","18,52","302,84",0
724,FR,2022-05-07,"67114992,00","28250,00","177298,00","42,09","15,93","264,17",0
725,FR,2022-05-08,"67114992,00","7197,00","55287,00","10,72","13,02","82,38",0
726,FR,2022-05-09,"67114992,00","59733,00","299847,00","89,00","19,92","446,77",0
727,FR,2022-05-10,"67114992,00","38009,00","224507,00","56,63","16,93","334,51",0
728,FR,2022-05-11,"67114992,00","35909,00","211633,00","53,50","16,97","315,33",0
729,FR,2022-05-12,"67114992,00","32151,00","191344,00","47,90","16,80","285,10",0
730,FR,2022-05-13,"67114992,00","30254,00","194308,00","45,08","15,57","289,52",0
731,FR,2022-05-14,"67114992,00","21780,00","164371,00","32,45","13,25","244,91",0
732,FR,2022-05-15,"67114992,00","5844,00","54266,00","8,71","10,77","80,86",0
733,FR,2022-05-16,"67114992,00","45524,00","274994,00","67,83","16,55","409,74",0
734,FR,2022-05-17,"67114992,00","29189,00","203506,00","43,49","14,34","303,22",0
735,FR,2022-05-18,"67114992,00","27445,00","187316,00","40,89","14,65","279,10",0
736,FR,2022-05-19,"67114992,00","23981,00","164474,00","35,73","14,58","245,06",0
737,FR,2022-05-20,"67114992,00","22300,00","161429,00","33,23","13,81","240,53",0
738,FR,2022-05-21,"67114992,00","16257,00","140023,00","24,22","11,61","208,63",0
739,FR,2022-05-22,"67114992,00","4280,00","46709,00","6,38","9,16","69,60",0
740,FR,2022-05-23,"67114992,00","33348,00","228736,00","49,69","14,58","340,81",0
741,FR,2022-05-24,"67114992,00","21170,00","155719,00","31,54","13,60","232,02",0
742,FR,2022-05-25,"67114992,00","20940,00","149820,00","31,20","13,98","223,23",0
743,FR,2022-05-26,"67114992,00","4357,00","44483,00","6,49","9,79","66,28",0
744,FR,2022-05-27,"67114992,00","24855,00","150452,00","37,03","16,52","224,17",0
745,FR,2022-05-28,"67114992,00","15444,00","128441,00","23,01","12,02","191,37",0
746,FR,2022-05-29,"67114992,00","4659,00","46731,00","6,94","9,97","69,63",0
747,FR,2022-05-30,"67114992,00","36988,00","237648,00","55,11","15,56","354,09",0
748,FR,2022-05-31,"67114992,00","25288,00","184331,00","37,68","13,72","274,65",0
749,FR,2022-06-01,"67114992,00","25528,00","176921,00","38,04","14,43","263,61",0
750,FR,2022-06-02,"67114992,00","24919,00","155657,00","37,13","16,01","231,93",0
751,FR,2022-06-03,"67114992,00","25205,00","147336,00","37,55","17,11","219,53",0
752,FR,2022-06-04,"67114992,00","19884,00","137941,00","29,63","14,41","205,53",0
753,FR,2022-06-05,"67114992,00","6180,00","46007,00","9,21","13,43","68,55",0
754,FR,2022-06-06,"67114992,00","12267,00","77592,00","18,28","15,81","115,61",0
755,FR,2022-06-07,"67114992,00","56736,00","279239,00","84,54","20,32","416,06",0
756,FR,2022-06-08,"67114992,00","39051,00","204940,00","58,19","19,05","305,36",0
757,FR,2022-06-09,"67114992,00","37145,00","184090,00","55,35","20,18","274,29",0
758,FR,2022-06-10,"67114992,00","35676,00","184569,00","53,16","19,33","275,00",0
759,FR,2022-06-11,"67114992,00","28295,00","164377,00","42,16","17,21","244,92",0
760,FR,2022-06-12,"67114992,00","8363,00","49538,00","12,46","16,88","73,81",0
761,FR,2022-06-13,"67114992,00","69443,00","300419,00","103,47","23,12","447,62",0
762,FR,2022-06-14,"67114992,00","51013,00","236786,00","76,01","21,54","352,81",0
763,FR,2022-06-15,"67114992,00","52883,00","233111,00","78,79","22,69","347,33",0
764,FR,2022-06-16,"67114992,00","50095,00","207269,00","74,64","24,17","308,83",0
765,FR,2022-06-17,"67114992,00","50679,00","208427,00","75,51","24,31","310,55",0
766,FR,2022-06-18,"67114992,00","39484,00","180142,00","58,83","21,92","268,41",0
767,FR,2022-06-19,"67114992,00","11344,00","54974,00","16,90","20,64","81,91",0
768,FR,2022-06-20,"67114992,00","100276,00","364445,00","149,41","27,51","543,02",0
769,FR,2022-06-21,"67114992,00","76896,00","295327,00","114,57","26,04","440,03",0
770,FR,2022-06-22,"67114992,00","80214,00","304266,00","119,52","26,36","453,35",0
771,FR,2022-06-23,"67114992,00","79227,00","291421,00","118,05","27,19","434,21",0
772,FR,2022-06-24,"67114992,00","81329,00","299891,00","121,18","27,12","446,83",0
773,FR,2022-06-25,"67114992,00","64672,00","257924,00","96,36","25,07","384,30",0
774,FR,2022-06-26,"67114992,00","17548,00","71089,00","26,15","24,68","105,92",0
775,FR,2022-06-27,"67114992,00","155706,00","514129,00","232,00","30,29","766,04",0
776,FR,2022-06-28,"67114992,00","123793,00","418376,00","184,45","29,59","623,37",0
777,FR,2022-06-29,"67114992,00","133403,00","449192,00","198,77","29,70","669,29",0
778,FR,2022-06-30,"67114992,00","124500,00","418968,00","185,50","29,72","624,25",0
779,FR,2022-07-01,"67863600,00","122310,00","422163,00","180,23","28,97","622,08",0
780,FR,2022-07-02,"67863600,00","92228,00","340778,00","135,90","27,06","502,15",0
781,FR,2022-07-03,"67863600,00","24994,00","90178,00","36,83","27,72","132,88",0
782,FR,2022-07-04,"67863600,00","221458,00","641002,00","326,33","34,55","944,54",0
783,FR,2022-07-05,"67863600,00","152848,00","470626,00","225,23","32,48","693,49",0
784,FR,2022-07-06,"67863600,00","158094,00","503027,00","232,96","31,43","741,23",0
785,FR,2022-07-07,"67863600,00","137531,00","449777,00","202,66","30,58","662,77",0
786,FR,2022-07-08,"67863600,00","129616,00","437888,00","190,99","29,60","645,25",0
787,FR,2022-07-09,"67863600,00","92812,00","334396,00","136,76","27,76","492,75",0
788,FR,2022-07-10,"67863600,00","22867,00","86487,00","33,70","26,44","127,44",0
789,FR,2022-07-11,"67863600,00","192898,00","564134,00","284,24","34,19","831,28",0
790,FR,2022-07-12,"67863600,00","122801,00","384905,00","180,95","31,90","567,17",0
791,FR,2022-07-13,"67863600,00","115529,00","381711,00","170,24","30,27","562,47",0
792,FR,2022-07-14,"67863600,00","20011,00","74423,00","29,49","26,89","109,67",0
793,FR,2022-07-15,"67863600,00","128975,00","385328,00","190,05","33,47","567,80",0
794,FR,2022-07-16,"67863600,00","68908,00","251817,00","101,54","27,36","371,06",0
795,FR,2022-07-17,"67863600,00","17688,00","70863,00","26,06","24,96","104,42",0
796,FR,2022-07-18,"67863600,00","140654,00","429610,00","207,26","32,74","633,05",0
797,FR,2022-07-19,"67863600,00","85530,00","297987,00","126,03","28,70","439,10",0
798,FR,2022-07-20,"67863600,00","79735,00","286905,00","117,49","27,79","422,77",0
799,FR,2022-07-21,"67863600,00","72817,00","258738,00","107,30","28,14","381,26",0
800,FR,2022-07-22,"67863600,00","68221,00","260246,00","100,53","26,21","383,48",0
801,FR,2022-07-23,"67863600,00","47158,00","206216,00","69,49","22,87","303,87",0
802,FR,2022-07-24,"67863600,00","11192,00","56045,00","16,49","19,97","82,58",0
803,FR,2022-07-25,"67863600,00","90349,00","329502,00","133,13","27,42","485,54",0
804,FR,2022-07-26,"67863600,00","56591,00","239811,00","83,39","23,60","353,37",0
805,FR,2022-07-27,"67863600,00","50811,00","226011,00","74,87","22,48","333,04",0
806,FR,2022-07-28,"67863600,00","44450,00","204503,00","65,50","21,74","301,34",0
807,FR,2022-07-29,"67863600,00","40911,00","201537,00","60,28","20,30","296,97",0
808,FR,2022-07-30,"67863600,00","29415,00","164471,00","43,34","17,88","242,36",0
809,FR,2022-07-31,"67863600,00","7343,00","47482,00","10,82","15,46","69,97",0
810,FR,2022-08-01,"67863600,00","56927,00","241555,00","83,88","23,57","355,94",0
811,FR,2022-08-02,"67863600,00","37060,00","173756,00","54,61","21,33","256,04",0
812,FR,2022-08-03,"67863600,00","33265,00","157561,00","49,02","21,11","232,17",0
813,FR,2022-08-04,"67863600,00","29945,00","137961,00","44,13","21,71","203,29",0
814,FR,2022-08-05,"67863600,00","28326,00","139974,00","41,74","20,24","206,26",0
815,FR,2022-08-06,"67863600,00","20118,00","114768,00","29,64","17,53","169,12",0
816,FR,2022-08-07,"67863600,00","5129,00","36011,00","7,56","14,24","53,06",0
817,FR,2022-08-08,"67863600,00","39747,00","177838,00","58,57","22,35","262,05",0
818,FR,2022-08-09,"67863600,00","26048,00","132573,00","38,38","19,65","195,35",0
819,FR,2022-08-10,"67863600,00","24242,00","122497,00","35,72","19,79","180,50",0
820,FR,2022-08-11,"67863600,00","22265,00","109981,00","32,81","20,24","162,06",0
821,FR,2022-08-12,"67863600,00","21103,00","108347,00","31,10","19,48","159,65",0
822,FR,2022-08-13,"67863600,00","15708,00","95385,00","23,15","16,47","140,55",0
823,FR,2022-08-14,"67863600,00","4695,00","33480,00","6,92","14,02","49,33",0
824,FR,2022-08-15,"67863600,00","6697,00","43331,00","9,87","15,46","63,85",0
825,FR,2022-08-16,"67863600,00","37130,00","163610,00","54,71","22,69","241,09",0
826,FR,2022-08-17,"67863600,00","22556,00","112362,00","33,24","20,07","165,57",0
827,FR,2022-08-18,"67863600,00","19962,00","97707,00","29,41","20,43","143,98",0
828,FR,2022-08-19,"67863600,00","19502,00","102701,00","28,74","18,99","151,33",0
829,FR,2022-08-20,"67863600,00","14249,00","91967,00","21,00","15,49","135,52",0
830,FR,2022-08-21,"67863600,00","3918,00","28999,00","5,77","13,51","42,73",0
831,FR,2022-08-22,"67863600,00","30089,00","149179,00","44,34","20,17","219,82",0
832,FR,2022-08-23,"67863600,00","20524,00","114162,00","30,24","17,98","168,22",0
